model,galaxy,environment,mu_trgb,sigma_mu_trgb,mu_sbf_loo,delta_mu_sbf_minus_trgb,predicted_Mbar_loo,sigma_target_sbf_mag,sigma_color_prediction_mag,sigma_extinction_prediction_mag,sigma_intrinsic_mag,sigma_calibration_prediction_mag,calibration_bootstrap_success,sigma_mu_sbf_internal,sigma_mu_sbf_absolute,sigma_validation_residual_internal
constant,NGC 1380,Fornax,31.408,0.025,31.2859350502859,-0.12206494971410109,-3.1987143526252333,0.015109656790388283,0.0,0.002562236206655117,0.07707312885184464,0.02146652739721269,300,0.08142100906910732,0.09401266253984969,0.08499123755111947
constant,NGC 1399,Fornax,31.498,0.026,31.35491717324345,-0.14308282675655093,-3.1976072534551627,0.022230907406719694,0.0,0.0023589635959387787,0.07507416248281688,0.022181397752514074,300,0.08137786875359769,0.0939753027283114,0.08527714287740785
constant,NGC 1404,Fornax,31.366,0.025,31.386355329868387,0.020355329868387173,-3.2093578373516323,0.013981964853890527,0.0,0.002330322649457525,0.08392104286881759,0.02413247582272144,300,0.08843423074070123,0.1001479563780489,0.09176098448758635
constant,NGC 1549,Other,31.231,0.026,31.130182694000528,-0.10081730599947392,-3.200331035228397,0.012825377469384128,0.0,0.0023589635959387787,0.07935611881729217,0.02617826925101771,300,0.08454102957709445,0.09672737814060275,0.08830073191322492
constant,NGC 3379,Other,30.078,0.028,30.23036749808842,0.1523674980884202,-3.2187826799312558,0.012577512454493064,0.0,0.0029480142102134826,0.073434837709506,0.022532995482226897,300,0.07783704191685646,0.09092637183109457,0.08247265725314498
constant,NGC 4374,Virgo,31.112,0.027,31.157685482672292,0.04568548267229389,-3.2111418761254424,0.017620313990269334,0.0,0.003955029734863153,0.08315186967348022,0.02473556631116925,300,0.08852433075739896,0.100227526837917,0.09215206975617
constant,NGC 4406,Virgo,31.096,0.025,31.054025720140118,-0.04197427985988256,-3.2047841116665703,0.01778157166196274,0.0,0.0032441877039497786,0.08324373554032712,0.023841372916046974,300,0.08839748220396017,0.10011550758998056,0.0915948976109663
constant,NGC 4472,Virgo,31.016,0.027,30.913385763200314,-0.10261423679968473,-3.200629050427172,0.023419941427866155,0.0,0.002810488905451811,0.07952672663726093,0.022734201242614726,300,0.08596416586149146,0.09797365876735448,0.0898982523698059
constant,NGC 4486,Virgo,31.046,0.025,31.01347248077921,-0.032527519220789,-3.205972328206909,0.04906021640158497,0.0,0.0028554448686784217,0.08295997274924095,0.024992163850366126,300,0.09956841952069288,0.11010390622429658,0.10247209570306748
constant,NGC 4552,Virgo,30.923,0.028,31.068700981837075,0.14570098183707714,-3.21829092728117,0.014382745248622108,0.0,0.00401257420147731,0.07444673270013558,0.022840237307264755,300,0.07918873537861536,0.09208613256546486,0.083541287470621
constant,NGC 4621,Virgo,30.821,0.026,30.90150944924466,0.08050944924465853,-3.2137509495432046,0.013512445469703113,0.0,0.003400996918161547,0.08122426417776427,0.02332356722386695,300,0.08558011487394242,0.09763685811125418,0.08913790801556797
constant,NGC 4636,Virgo,31.07,0.026,31.100551985726028,0.030551985726027908,-3.210052755893984,0.01880526698517278,0.0,0.0031931076882368565,0.08362884465941403,0.025046445458012774,300,0.08930143422999005,0.10091454878030837,0.09275129503590233
constant,NGC 4649,Virgo,31.009,0.025,31.086036701017747,0.07703670101774662,-3.2134419144259057,0.01725196205636535,0.0,0.0030438561051523163,0.0814893868162076,0.02526779687281246,300,0.08704373565789493,0.09892225188137141,0.09032190027570756
constant,NGC 4697,Virgo,30.324,0.028,30.301088798150918,-0.022911201849083795,-3.2062111572420986,0.017115626454478637,0.0,0.0032441877039497786,0.08374371275305324,0.02554424943161399,300,0.08921021675581588,0.10083383744368579,0.09323611522357415
linear,NGC 1380,Fornax,31.408,0.025,31.27500952901475,-0.13299047098525207,-3.187788831354083,0.015211118587170266,5.731188463366752e-06,0.003105063909455523,0.07697522972631048,0.054767580508149505,300,0.09568726140300947,0.10660699786978275,0.09870988631849821
linear,NGC 1399,Fornax,31.498,0.026,31.355921362719,-0.14207863728100278,-3.1986114429307126,0.022171854884699155,5.922917528801677e-06,0.0017153947265937206,0.07431517369754538,0.025595789530841045,300,0.08166688822547122,0.09422568987506331,0.08559470130449785
linear,NGC 1404,Fornax,31.366,0.025,31.390320079503834,0.02432007950383408,-3.2133225869870787,0.013876792639642609,7.651545144566226e-06,0.0015812583257143618,0.08310141683234483,0.030683521327803207,300,0.08966542998603486,0.10123679832245051,0.09299227084642274
linear,NGC 1549,Other,31.231,0.026,31.13197796232619,-0.09902203767381224,-3.202126303554059,0.012802665032553277,1.6495166651572337e-06,0.00223218082368691,0.07930168844845893,0.047385324362803495,300,0.0932632563643384,0.10443675113522205,0.09669164844863375
linear,NGC 3379,Other,30.078,0.028,30.23678426311114,0.1587842631111407,-3.2251994449539763,0.012323883996526468,1.790777129328499e-05,0.0015410270316451248,0.0715247068906762,0.03145276252285784,300,0.07910080962212887,0.09201053245621543,0.0837829104930605
