galaxy,environment,D_trgb_mpc,sigma_D_trgb_mpc,D_sbf_linear_mpc,sigma_D_sbf_linear_mpc,D_sbf_quadratic_mpc,sigma_D_sbf_quadratic_mpc,D_sbf_broken_mpc,sigma_D_sbf_broken_mpc,D_sbf_constant_mpc,sigma_D_sbf_constant_mpc,D_jensen_f160w_mpc,sigma_D_jensen_f160w_mpc,D_jensen_paper3_f110w_mpc,sigma_D_jensen_paper3_f110w_mpc,mu_jensen_paper3_f110w,sigma_mu_jensen_paper3_f110w
NGC 1380,Fornax,19.124936418442093,0.2201839675078185,18.052260254466475,0.7942257208815173,18.46168769659437,0.6575444091822704,18.53138525764162,0.6519659377536614,17.971824338391517,0.6921452868320253,20.120279064095165,1.1905008676596314,18.98121463045902,0.3085003328582088,31.391620000000003,0.03529278679843801
NGC 1399,Fornax,19.934254564980947,0.2386816504866229,18.563804580745455,0.6929827423217089,18.17844676551651,0.5153485122869458,18.001862331516012,0.4681423221603303,18.543518247216458,0.7101861933781358,20.298315568544854,1.1854999370512185,19.795387153498012,0.33923562649267414,31.48282,0.037212750503019795
NGC 1404,Fornax,18.75858173799283,0.2159661533780631,18.950392334571955,0.7883113102699068,18.722106039785796,0.6771955025657295,18.679154864635308,0.6656264459526604,18.87588464222764,0.7972660145163291,19.840563382616548,1.2228055080182154,19.440167385130174,0.32847145822237517,31.4435,0.03669035840653509
NGC 1549,Other,17.627876532324,0.2110663657672378,17.132872891465386,0.7514875543504549,17.180291007816795,0.6089556148833516,17.278127632385235,0.6084143160155582,16.997220742899376,0.7046158702276911,,,,,,
NGC 3379,Other,10.365732567670046,0.1336606952143677,11.148352882533814,0.4083803563018034,11.045734316255404,0.3533859865876022,11.036112482212218,0.3488887304044628,11.089868981166246,0.4206848597708147,,,,,,
NGC 4374,Virgo,16.687835113653897,0.2074958659820271,16.932800374705597,0.7033930433358265,16.69715822333835,0.6087423450411272,16.595913239530013,0.5956911145780684,16.894257008228355,0.7194610298541302,,,,,,
NGC 4406,Virgo,16.565326493180184,0.1907153692188801,15.851122151560372,0.6593571171958279,15.832080080612002,0.5458514763959192,15.9429196870785,0.5509739433193307,16.07343477131506,0.670789131509322,,,,,,
NGC 4472,Virgo,15.966142459934131,0.1985223687526635,15.05125823770267,0.6322235352394324,15.14041908262368,0.5269502725601459,15.205944049026131,0.5272290141788556,15.342137166888875,0.6392265993619134,16.189595575972795,0.983197296093612,16.11105573266113,0.27477299658077325,31.03562,0.03703431921880028
NGC 4486,Virgo,16.18825362642106,0.1863741574090196,15.842103378736974,0.846380833025482,16.90915893640215,0.695121348178389,16.398626795242574,0.6749660533522521,16.222679838083597,0.7653049820741128,,,,,,
NGC 4552,Virgo,15.296779272301396,0.1972439611700404,16.294624209974717,0.6080597299810065,16.111092206239213,0.5418630191709112,16.054101931193287,0.5378688325434786,16.273599873085516,0.6322408147132174,,,15.695385968742528,0.2691044745908668,30.978859999999997,0.037230874284657885
NGC 4621,Virgo,14.59486223782621,0.1747507435602258,15.137555800369254,0.6070401335590172,14.948010892390643,0.5321863350110979,14.872874520342275,0.5249697641147734,15.10135377990882,0.6225655465789199,,,,,,
NGC 4636,Virgo,16.368165214278086,0.1959832847547141,16.478715932254175,0.7086241185996598,16.34272171906323,0.5982946849565931,16.466496396471825,0.5941476661320128,16.595757538801436,0.7078492580264848,,,16.296562253528798,0.2714105734765105,31.06048,0.03616471761261243
NGC 4649,Virgo,15.914756566438562,0.1832254061425527,16.8256662073872,0.7198121639542995,16.927317080831635,0.551994831430954,17.05223005060797,0.5317080038618416,16.923471623950554,0.6632188109240241,15.856086267711438,0.9843413623275816,16.18557006100947,0.3062474717476285,31.04564,0.041086469792378115
NGC 4697,Virgo,11.609138701261834,0.1496937664097442,11.526538155536336,0.5623612061744928,11.92216333959628,0.4272840112761416,11.961754906777138,0.4217163353828273,11.36479845054394,0.4818986454392139,,,11.662401802297168,0.1938829206316497,30.33394,0.036099889196505856
